,week,category,weekly_rank,weekly_hours_viewed,cumulative_weeks_in_top_10,Show_title,type,description,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes
126,2022-10-09,Films (English),7,8420000,1,sing,movie,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.",2016,PG,108 min,"Animation, Comedy, Family","Japan, United States, France",tt3470600,7.1,"169,979"
127,2022-10-09,Films (English),8,8350000,2,marauders,MOVIE,An untraceable group of elite bank robbers is chased by a suicidal FBI agent who uncovers a deeper purpose behind the robbery-homicides.,2016.0,R,107.0,"['crime', 'thriller', 'action']",['CA'],tt3963816,5.5,21929.0
128,2022-10-09,Films (English),9,7850000,1,the redeem team,movie,"Follows the story of the 2008 U.S. Olympic Men's Basketball team and how ""The Redeem Team"" set a new standard for American basketball.",2022,TV-MA,97 min,"Documentary, History, Sport",United States,tt21837726,7.4,"6,470"
131,2022-10-09,Films (Non-English),2,6630000,1,laal singh chaddha,movie,"Laal Singh Chaddha, a simple man whose extraordinary journey will fill you with love, warmth, happiness and will also make you laugh.",2022,PG-13,159 min,"Comedy, Drama, Romance",India,tt10028196,5.4,"169,172"
132,2022-10-09,Films (Non-English),3,6480000,1,old people,movie,A woman travels home with her two kids for her sister's wedding but finds herself defending her family against blood-seeking pensioners.,2022,N/A,101 min,Horror,Germany,tt21933110,5.0,"3,371"
133,2022-10-09,Films (Non-English),4,5130000,2,plan a plan b,movie,"Follows a matchmaker who believes marriage is for everyone except herself, and a successful divorce lawyer with a secret, who cross paths, and explores if opposites coexist or attract.",2022,TV-14,105 min,"Comedy, Romance",India,tt15238986,4.7,"1,390"
134,2022-10-09,Films (Non-English),5,4140000,1,togo,movie,"The story of Togo, the sled dog who led the 1925 serum run despite being considered too small and weak to lead such an intense race.",2019,PG,113 min,"Adventure, Biography, Drama",United States,tt5116302,7.9,"49,069"
136,2022-10-09,Films (Non-English),7,2830000,3,athena,movie,"Hours after the tragic death of their youngest brother in unexplained circumstances, three siblings have their lives thrown into chaos.",2022,R,99 min,"Action, Drama, Thriller",France,tt15445056,6.8,"11,166"
138,2022-10-09,Films (Non-English),9,1620000,1,ranga ranga vaibhavanga,movie,"Two childhood buddies develop a dislike for each other after an event, which continues even after they become adults. When they enroll in the same medical college, they decide to patch up and gradually develop fondness for each ot...",2022,N/A,122 min,"Comedy, Drama, Romance",India,tt15509564,5.1,683
139,2022-10-09,Films (Non-English),10,1370000,1,saakini daakini,movie,"Two police trainees witness the kidnapping of a girl one night on their way home. Unable to get help from the local police and determined to rescue the girl, they set out on their own amateur investigation.",2022,N/A,118 min,"Action, Comedy",India,tt12874984,6.0,547
140,2022-10-09,TV (English),1,205330000,3,dahmer,movie,"Biopic about notorious American serial killer Jeffrey Dahmer, taking place in both the past and the present.",2002,R,101 min,"Biography, Crime, Drama",United States,tt0285728,5.6,"10,725"
141,2022-10-09,TV (English),2,31400000,1,conversations with a killer: the jeffrey dahmer tapes,series,"Serial killer Jeffrey Dahmer confesses to his gruesome crimes in unguarded interviews, offering an unsettling view into a disturbed mind.",2022,TV-MA,N/A,"Documentary, Biography, Crime",United States,tt21946032,7.4,"1,621"
142,2022-10-09,TV (English),3,27830000,3,dynasty,SHOW,"The reboot follows two of America’s wealthiest families, the Carringtons and the Colbys, as they feud for control over their fortune and their children focusing on Fallon Carrington, the daughter of billionaire Blake Carrington, and her soon-to-be stepmother, Cristal, a Hispanic woman marrying into this WASP family and America’s most powerful class.",2017.0,TV-14,42.0,['drama'],['US'],tt6128300,7.2,21637.0
143,2022-10-09,TV (English),4,18790000,1,the midnight club,series,"The Midnight Club follows a group of five terminally ill patients at Brightcliffe Hospice, who begin to gather together at midnight to share scary stories.",2022–,TV-MA,1 min,"Drama, Horror, Mystery","Canada, United States",tt13444912,7.0,"2,527"
144,2022-10-09,TV (English),5,15210000,1,bling empire,SHOW,"Follow LA's wildly wealthy Asian and Asian American fun seekers as they go all out with fabulous parties, glamour and drama in this reality series.",2021.0,TV-MA,37.0,['reality'],['US'],tt13660962,5.8,3052.0
145,2022-10-09,TV (English),6,14960000,4,fate: the winx saga,SHOW,"The coming-of-age journey of five fairies attending Alfea, a magical boarding school in the Otherworld where they must learn to master their powers while navigating love, rivalries, and the monsters that threaten their very existence.",2021.0,TV-MA,50.0,"['scifi', 'drama', 'fantasy', 'action']",['US'],tt8179402,6.8,39519.0
146,2022-10-09,TV (English),7,13530000,5,cobra kai,SHOW,"This Karate Kid sequel series picks up 30 years after the events of the 1984 All Valley Karate Tournament and finds Johnny Lawrence on the hunt for redemption by reopening the infamous Cobra Kai karate dojo. This reignites his old rivalry with the successful Daniel LaRusso, who has been working to maintain the balance in his life without mentor Mr. Miyagi.",2018.0,TV-14,31.0,"['action', 'drama', 'sport', 'comedy']",['US'],tt7221388,8.5,166830.0
147,2022-10-09,TV (English),8,9480000,3,heartbreak high,SHOW,The ins and outs of the classroom lives of a group of students who attend the fictional Hartley High School in Sydney.,1994.0,TV-MA,45.0,"['drama', 'romance', 'comedy']",['AU'],tt5582224,7.8,3139.0
148,2022-10-09,TV (English),9,9420000,19,stranger things,SHOW,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.",2016.0,TV-14,61.0,"['scifi', 'thriller', 'drama', 'fantasy', 'horror']",['US'],tt4574334,8.7,1101055.0
149,2022-10-09,TV (English),10,8860000,3,conversations with a killer: the john wayne gacy tapes,SHOW,He dined with the powerful. He preyed on the vulnerable. Beneath a smiling exterior was the horrifying darkness of a sadistic serial killer.,2022.0,TV-MA,61.0,"['documentation', 'crime']",['US'],tt18970124,7.1,6665.0
150,2022-10-09,TV (Non-English),1,59430000,2,the empress,series,"Two young people meet. A fateful encounter - the proverbial love at first sight. He is Emperor Franz Joseph of Austria-Hungary, she is Elisabeth von Wittelsbach, Princess of Bavaria and the sister of the woman Franz is to marry.",2022–,TV-MA,N/A,"Drama, History, Romance",Germany,tt13720112,7.9,"6,953"
151,2022-10-09,TV (Non-English),2,45840000,1,high water,series,"When the flood wave approaches the capital of Lower Silesia, a decision is made to save the city from the destructive elements, the surrounding villages and fields should be sacrificed.",2022–,TV-MA,N/A,Drama,Poland,tt15096728,7.2,"2,362"
152,2022-10-09,TV (Non-English),3,23580000,5,little women,MOVIE,"With their father away as a chaplain in the Civil War, Jo, Meg, Beth and Amy grow up with their mother in somewhat reduced circumstances. They are a close family who inevitably have their squabbles and tragedies. But the bond holds even when, later, male friends start to become a part of the household.",1994.0,PG,115.0,"['drama', 'romance', 'family']",['US'],tt0110367,7.3,58178.0
153,2022-10-09,TV (Non-English),4,13750000,4,"el rey, vicente fernández",series,Follows the life of Mexican music icon Vicente Fernandez.,2022–,TV-14,N/A,"Biography, Drama, Music","Mexico, Colombia",tt16442864,7.3,266
154,2022-10-09,TV (Non-English),5,12220000,14,extraordinary attorney woo,SHOW,Brilliant attorney Woo Young-woo tackles challenges in the courtroom and beyond as a newbie at a top law firm and a woman on the autism spectrum.,2022.0,TV-14,70.0,['drama'],['KR'],tt20869502,8.8,"10,429"
155,2022-10-09,TV (Non-English),6,9780000,14,alchemy of souls,SHOW,"A powerful sorceress in a blind woman's body encounters a man from a prestigious family, who wants her help to change his destiny.",2022.0,TV-14,80.0,"['drama', 'action', 'thriller', 'scifi', 'comedy', 'fantasy', 'romance']",['KR'],tt20859920,8.6,878.0
156,2022-10-09,TV (Non-English),7,8520000,7,young lady and gentleman,series,"Lee Young Kook is a widower with three children. He decides to hire Park Dan Dan as a live-in tutor for his kids and he becomes attracted to her despite the age difference. Probably because Park Dan Dan is funny, charming, and pos...",2021–,N/A,31S min,"Comedy, Drama, Family",South Korea,tt15514606,6.4,289
157,2022-10-09,TV (Non-English),8,8020000,4,cyberpunk: edgerunners,series,"A Street Kid trying to survive in a technology and body modification-obsessed city of the future. Having everything to lose, he chooses to stay alive by becoming an Edgerunner, a Mercenary outlaw also known as a Cyberpunk.",2022–,TV-MA,N/A,"Animation, Action, Adventure","Poland, United States",tt12590266,8.4,"38,251"
159,2022-10-09,TV (Non-English),10,7100000,5,diary of a gigolo,series,A gigolo's life begins to unravel when he becomes involved in a client's family affairs and violates the fundamental rule of his job: don't fall in love.,2022,TV-MA,N/A,"Crime, Drama, Mystery","United States, Argentina",tt16481820,6.5,936
160,2022-10-02,Films (English),1,46190000,2,lou,movie,"A storm rages. A young girl is kidnapped. Her mother teams up with the mysterious woman next door to pursue the kidnapper, a journey that tests their limits and exposes shocking secrets from their pasts.",2022,R,107 min,"Action, Crime, Drama",United States,tt5315210,6.1,"19,805"
161,2022-10-02,Films (English),2,37340000,1,blonde,movie,A fictionalized chronicle of the inner life of Marilyn Monroe.,2022,NC-17,167 min,"Biography, Drama, Romance",United States,tt1655389,5.5,"36,785"
162,2022-10-02,Films (English),3,15920000,3,do revenge,movie,Drea and Eleanor agree to go after one another's bullies.,2022,TV-MA,118 min,Comedy,United States,tt13327038,6.3,"31,964"
163,2022-10-02,Films (English),4,15670000,2,a jazzman's blues,movie,"Follows an investigation into an unsolved murder unveiling a story full of forbidden love, deceit and a secret.",2022,R,127 min,Drama,United States,tt14307536,6.7,"2,671"
165,2022-10-02,Films (English),6,8110000,1,last seen alive,movie,Will's soon-to-be ex-wife mysteriously vanishes at a gas station. He delves into the town's criminal underbelly while running from the authorities in a race against time to find her.,2022,R,95 min,"Action, Drama, Mystery",United States,tt10242388,5.6,"16,778"
166,2022-10-02,Films (English),7,6700000,1,marauders,MOVIE,An untraceable group of elite bank robbers is chased by a suicidal FBI agent who uncovers a deeper purpose behind the robbery-homicides.,2016.0,R,107.0,"['crime', 'thriller', 'action']",['CA'],tt3963816,5.5,21929.0
167,2022-10-02,Films (English),8,6420000,1,inheritance,movie,"The patriarch of a wealthy and powerful family suddenly passes away, leaving his daughter with a shocking secret inheritance that threatens to unravel and destroy the family.",2020,TV-MA,111 min,"Drama, Mystery, Thriller",United States,tt7923220,5.5,"15,191"
168,2022-10-02,Films (English),9,5450000,2,father stu,movie,"Follows the life of Father Stuart Long, a boxer-turned-priest who inspired countless people during his journey from self-destruction to redemption.",2022,R,124 min,"Biography, Drama","United States, South Korea",tt14439896,6.5,"18,269"
169,2022-10-02,Films (English),10,5170000,1,elysium,movie,"In the year 2154, the very wealthy live on a man-made space station while the rest of the population resides on a ruined Earth. A man takes on a mission that could bring equality to the polarized worlds.",2013,R,109 min,"Action, Drama, Sci-Fi","United States, Canada",tt1535108,6.6,"448,405"
170,2022-10-02,Films (Non-English),1,13600000,2,athena,movie,"Hours after the tragic death of their youngest brother in unexplained circumstances, three siblings have their lives thrown into chaos.",2022,R,99 min,"Action, Drama, Thriller",France,tt15445056,6.8,"11,166"
171,2022-10-02,Films (Non-English),2,4500000,2,the perfumier,movie,"A police detective tries to get back his girlfriend as well as his sense of smell, as he gets help from a perfume maker who uses deadly methods to find the perfect perfume.",2022,TV-MA,96 min,"Crime, Drama, Mystery",Germany,tt21916206,3.6,990
173,2022-10-02,Films (Non-English),4,3920000,1,plan a plan b,movie,"Follows a matchmaker who believes marriage is for everyone except herself, and a successful divorce lawyer with a secret, who cross paths, and explores if opposites coexist or attract.",2022,TV-14,105 min,"Comedy, Romance",India,tt15238986,4.7,"1,390"
175,2022-10-02,Films (Non-English),6,2220000,4,no limit,movie,Roxana Aubrey decides to drop her studies and escape her life in Paris for a free diving course in the south of France. She is quickly pulled into a life that reaches new depths brought by the weight of an ocean's descent.,2022,TV-MA,118 min,"Drama, Romance, Sport",France,tt14995258,5.8,"2,149"
